home_team,away_team,match_date,home_score,away_score,status
Mexico,South Africa,2026-06-11,2,0,completed
South Korea,Czechia,2026-06-12,2,1,completed
Canada,Bosnia and Herzegovina,2026-06-12,1,1,completed
USA,Paraguay,2026-06-12,4,1,completed
Qatar,Switzerland,2026-06-13,1,1,completed
Brazil,Morocco,2026-06-13,1,1,completed
Haiti,Scotland,2026-06-13,0,1,completed
Australia,Türkiye,2026-06-14,2,0,completed
Germany,Curaçao,2026-06-14,7,1,completed
Netherlands,Japan,2026-06-14,2,2,completed
Ivory Coast,Ecuador,2026-06-14,1,0,completed
Sweden,Tunisia,2026-06-14,5,1,completed
Spain,Cape Verde,2026-06-15,0,0,completed
Belgium,Egypt,2026-06-15,1,1,completed
Saudi Arabia,Uruguay,2026-06-15,1,1,completed
Iran,New Zealand,2026-06-15,2,2,completed
France,Senegal,2026-06-16,3,1,completed
Iraq,Norway,2026-06-16,1,4,completed
Argentina,Algeria,2026-06-16,3,0,completed
Austria,Jordan,2026-06-17,3,1,completed
Portugal,DR Congo,2026-06-17,1,1,completed
England,Croatia,2026-06-17,4,2,completed
Ghana,Panama,2026-06-17,1,0,completed
Uzbekistan,Colombia,2026-06-17,1,3,completed
Czechia,South Africa,2026-06-18,1,1,completed
Switzerland,Bosnia and Herzegovina,2026-06-18,4,1,completed
Canada,Qatar,2026-06-18,6,0,completed
Mexico,South Korea,2026-06-18,1,0,completed
USA,Australia,2026-06-19,2,0,completed
Scotland,Morocco,2026-06-19,0,1,completed
Brazil,Haiti,2026-06-19,3,0,completed
Türkiye,Paraguay,2026-06-20,0,1,completed
Netherlands,Sweden,2026-06-20,5,1,completed
Germany,Ivory Coast,2026-06-20,2,1,completed
Ecuador,Curaçao,2026-06-20,0,0,completed
Tunisia,Japan,2026-06-21,0,4,completed
