team,player_count,goalkeepers,defenders,midfielders,forwards,average_age
Algeria,26,3,9,7,7,26.9
Argentina,26,3,8,8,7,29.1
Australia,26,3,10,5,8,27.4
Austria,26,3,8,11,4,28.6
Belgium,26,3,9,8,6,27.6
Bosnia And Herzegovina,26,3,8,8,7,26.4
Brazil,26,3,8,6,9,29.4
Cabo Verde,26,3,8,12,3,29.7
Canada,26,3,9,8,6,26.9
Colombia,26,3,9,8,6,30.1
Congo DR,26,3,8,8,7,29.1
Croatia,26,3,8,9,6,28.3
Curaçao,26,3,8,7,8,28.0
Czechia,26,3,9,7,7,27.6
Côte D'Ivoire,26,3,8,6,9,25.8
Ecuador,26,3,8,8,7,26.1
Egypt,26,4,8,7,7,29.1
England,26,3,9,7,7,27.1
France,26,3,9,7,7,27.0
Germany,26,3,8,11,4,28.0
Ghana,26,3,9,6,8,27.0
Haiti,26,3,8,6,9,27.6
IR Iran,26,3,9,8,6,30.3
Iraq,26,3,9,7,7,26.9
Japan,26,3,9,10,4,27.8
Jordan,26,3,9,8,6,28.5
Korea Republic,26,3,9,11,3,28.1
Mexico,26,3,7,8,8,27.9
Morocco,26,3,9,9,5,26.6
Netherlands,26,3,8,8,7,27.8
New Zealand,26,3,9,10,4,28.1
Norway,26,3,8,10,5,26.8
Panama,26,3,11,8,4,30.4
Paraguay,26,3,8,9,6,29.0
Portugal,26,3,9,6,8,28.0
Qatar,26,3,9,5,9,29.5
Saudi Arabia,26,3,10,6,7,28.5
Scotland,26,3,10,6,7,29.2
Senegal,26,3,8,7,8,27.1
South Africa,26,3,10,5,8,26.8
Spain,26,3,8,7,8,26.7
Sweden,26,3,11,7,5,27.6
Switzerland,26,3,8,8,7,28.3
Tunisia,26,3,10,8,5,26.6
Türkiye,26,3,9,5,9,27.7
USA,26,3,10,6,7,26.9
Uruguay,26,3,7,11,5,28.7
Uzbekistan,26,3,10,10,3,28.5
